CustomerId,PostalCode,HashCode,Firstname,rowNumber,Birthday,Gender,churn,terminate,PaymentMethod,totalTransaction,age
44,30136,fN6Bi6ut,Burgunde,25,01SEP76:16:25:24,w,No,Yes,credit card,148.09902783,38
45,48672,ISLS1LEp,Burgunde,26,03JAN44:16:25:24,w,No,Yes,credit card,144.3693181,70
46,84951,Ilw55cGT,Christoph,469,19APR32:16:25:24,m,No,Yes,cash,884.50326908,82
47,35583,MemBg2vN,Stefanie,27,08NOV66:16:25:24,w,No,Yes,credit card,264.74703019,48
48,37760,K0LlWwKm,Alexander,470,10APR58:16:25:24,m,No,Yes,cash,144.29799309,56
49,42266,nebDykfo,Lorenz,471,17MAY71:16:25:24,m,No,No,credit card,639.93750016,43
50,32539,DBPXSyZX,Georg,472,30DEC75:16:25:24,m,No,No,credit card,289.3098093,39
51,40686,QW258zNn,Anna,28,10NOV53:16:25:24,w,No,No,credit card,389.88683708,61
52,9012,2PdHrQ0N,Jakob,473,06JAN46:16:25:24,m,No,No,credit card,383.30053767,68
53,65565,VYYxwovV,Eustachius,474,29FEB92:16:25:24,m,No,No,credit card,394.00162332,22
54,35673,wCMq8WUK,Matthäus,475,16SEP50:16:25:24,m,No,Yes,cash,108.82277976,64
55,34749,XLM36WeL,Alois,476,08SEP53:16:25:24,m,No,Yes,cash,226.34271302,61
56,40004,i431B5FD,Melchior,477,12JUL88:16:25:24,m,No,Yes,credit card,50.913125913,26
57,65793,hR5bIMTj,Dominik,478,24DEC29:16:25:24,m,No,No,credit card,729.38670032,85
58,53547,nJ7KivPn,Christoph,479,18APR60:16:25:24,m,No,Yes,credit card,171.68646809,54
59,29907,LB3fgpFh,Notburga,29,09APR66:16:25:24,w,Yes,No,cheque,195.94189706,48
60,48625,FUcDIlsz,Josefine,30,31OCT59:16:25:24,w,No,Yes,cheque,331.81625919,55
61,74629,kRi3vk6o,Christoph,480,22NOV61:16:25:24,m,Yes,No,credit card,381.83902435,53
62,49684,fn9woJ27,Bartholomäus,481,12DEC88:16:25:24,m,No,No,credit card,667.08351156,26
63,52416,bUAFjUKx,Ludwig,482,14JUL61:16:25:24,m,No,No,credit card,248.86484402,53
64,45863,x7MSewP7,Gottfried,483,03FEB67:16:25:24,m,No,Yes,cash,141.59389814,47
65,47851,OHIF3ecs,Brigitte,31,11NOV66:16:25:24,w,No,No,cash,386.1181853,48
66,33745,ClU1K8pr,Victoria,32,11APR80:16:25:24,w,No,No,credit card,77.31383363,34
67,25257,VTRHXs1F,Leonhard,484,22NOV39:16:25:24,m,Yes,No,credit card,255.44709039,75
68,75835,a3kGAKaY,Alois,485,18FEB79:16:25:24,m,No,No,credit card,258.7956222,35
69,60335,fya0KpSq,Anastasia,33,30OCT78:16:25:24,w,No,No,credit card,71.930771187,36
70,37653,FtGlaAO8,Augusta,34,11AUG61:16:25:24,w,No,No,cash,418.06427517,53
71,49706,DsXdDTUM,Leopold,486,18OCT93:16:25:24,m,No,No,credit card,550.39817854,21
72,53661,Hg6423c9,Gregor,487,17NOV63:16:25:24,m,No,No,credit card,596.63626309,51
73,69511,Q3RgD5dc,Johannes,488,29JAN76:16:25:24,m,No,No,cheque,558.34212612,38
74,51239,WIK59uh6,Sebastian,489,01AUG47:16:25:24,m,No,No,credit card,423.73415233,67
75,55284,UTM0J7L3,Valentin,490,20APR94:16:25:24,m,No,No,credit card,921.4249467,20
76,59370,H0n3eUsn,(Franz)Xaver,491,05JAN72:16:25:24,m,No,No,credit card,507.27935726,42
77,79081,mSaXdmd9,Rosmarie,35,10JAN79:16:25:24,w,No,Yes,credit card,101.54063043,35
78,55102,8FLjqHa8,Rosemarie,36,10SEP27:16:25:24,w,No,Yes,credit card,226.76264887,87
79,89596,7OTWTwK4,Barbara,37,13SEP86:16:25:24,w,No,No,credit card,168.27344702,28
80,67840,WfJORRap,Remigius,492,28FEB80:16:25:24,m,No,Yes,credit card,312.23114991,34
81,46124,f6IvQ9iT,Elisabeth,38,17DEC49:16:25:24,w,No,Yes,credit card,78.033321203,65
82,39515,QCU4Fgm4,Laurentius,493,08OCT50:16:25:24,m,No,No,credit card,930.32531557,64
83,24790,S0EDUb7L,Genoveva,39,30MAY55:16:25:24,w,Yes,No,credit card,376.51254786,59
84,57315,Rvv4B7Gr,Reinhold,494,31DEC50:16:25:24,m,No,No,credit card,2.5,64
85,81311,DIw2K055,Leopold,495,14FEB83:16:25:24,m,No,No,credit card,710.40099084,31
86,61340,K2SwvDUq,Bernadette,40,24MAR78:16:25:24,w,No,Yes,credit card,401.40423697,36
87,47947,GGO1WQWB,Margaret,41,22JAN56:16:25:24,w,Yes,No,cash,239.66145292,58
88,80240,1olvkgMw,Balthasar,496,01JUN92:16:25:24,m,No,Yes,cash,656.98985872,22
89,33868,oIuGNpzw,Therese,42,10APR86:16:25:24,w,No,No,credit card,337.36233926,28
90,50130,PsXsGka2,Eva,43,07SEP68:16:25:24,w,No,Yes,credit card,296.16823203,46
91,47777,GlGZMbnk,August,497,27AUG62:16:25:24,m,No,No,credit card,606.43908154,52
92,43825,sSNU6Ylb,August,498,12DEC71:16:25:24,m,No,Yes,credit card,163.36581454,43
93,68312,8XQ5wVue,Veronika,44,27JUN46:16:25:24,w,No,Yes,credit card,242.85716364,68
94,18610,BUkdkv7j,Josefine,45,13FEB59:16:25:24,w,No,No,cash,448.55197344,55
95,20916,UdxrZlw3,Scholastika,46,19MAY90:16:25:24,w,No,Yes,credit card,7.0074386128,24
96,87373,YXITvyRR,Laurentius,499,07SEP77:16:25:24,m,No,No,credit card,614.67507484,37
97,66162,x9hqgAOa,Hannelore,47,09NOV24:16:25:24,w,No,Yes,cash,296.32856747,90
98,86630,QLVjOVdq,Christoph,500,02SEP49:16:25:24,m,No,Yes,cash,455.16071693,65
99,56279,PjxUX4FV,Hannes,501,08JUN41:16:25:24,m,No,No,credit card,734.1269925,73
100,56874,mHkwfOrB,Gertraud,48,22FEB81:16:25:24,w,No,Yes,credit card,141.59364294,33
101,20041,ofnLhsJr,Antonia,49,27FEB64:16:25:24,w,No,Yes,credit card,425.57097461,50
102,28479,92nmswzi,Valentin,502,16SEP42:16:25:24,m,No,Yes,cheque,696.79785927,72
103,49130,V6i1m60Q,Remigius,503,29MAY34:16:25:24,m,No,No,credit card,847.71657134,80
104,24937,ngFxIEzB,Kunigunde,50,15JAN63:16:25:24,w,No,Yes,cash,162.20054756,51
105,79644,PeoGZnAi,Cäcilie,51,05MAR42:16:25:24,w,Yes,No,cash,256.26381685,72
106,53630,T5pxtCxg,Johanna,52,12AUG52:16:25:24,w,No,Yes,cash,299.16565805,62
107,68905,YAplaY8d,Maximiliane,53,31AUG54:16:25:24,w,No,No,credit card,479.27259909,60
108,69123,N8Cvr0k6,Siegfried,504,12MAR65:16:25:24,m,No,No,credit card,605.59255342,49
109,32867,D97jrMoY,Magdalena,54,15OCT59:16:25:24,w,No,Yes,cheque,58.878503468,55
110,71189,7TAHDWAH,Bernhard,505,19NOV87:16:25:24,m,No,No,cash,352.2689696,27
111,42423,6e7TUiBt,Philip(p),506,10DEC95:16:25:24,m,No,No,cash,347.72857395,19
112,47457,rDGyBpoZ,Wilhelmine,55,02MAR77:16:25:24,w,No,No,cash,195.58774421,37
113,54127,nvOOHxnL,Lukas,507,15SEP73:16:25:24,m,No,No,credit card,419.46387332,41
114,28135,RJawkKEi,Elisabeth,56,26MAY71:16:25:24,w,No,Yes,cash,404.4583272,43
115,64017,DbDn9imt,Nikolaus,508,25SEP44:16:25:24,m,No,No,credit card,719.21839634,70
116,35108,HP1KrVxJ,Laurentius,509,03DEC89:16:25:24,m,No,No,credit card,433.91134961,25
117,59282,TUA8xgUo,Rosmarie,57,03OCT51:16:25:24,w,No,Yes,cash,78.980413589,63
118,83226,nfuPH2Rd,Alfons,510,14JUL74:16:25:24,m,No,No,credit card,487.27110484,40
119,62961,NnESrVF8,Sabine,58,01SEP76:16:25:24,w,No,No,credit card,2.5,38
120,55252,F7nDASX3,Franziska,59,15AUG91:16:25:24,w,No,No,credit card,431.88635916,23
121,70864,waI3YAtn,Alfons,511,11JUL75:16:25:24,m,No,Yes,cash,543.27903924,39
122,17429,G8FGhgzf,Mathilde,60,03MAR86:16:25:24,w,No,No,credit card,335.94295936,28
123,78944,3RwmG77F,Adolf,512,04NOV60:16:25:24,m,No,No,credit card,483.70275501,54
124,53339,pKrTBLW8,Alfons,513,03MAY77:16:25:24,m,No,No,credit card,271.56141047,37
125,30515,vKrR9lgE,Katharina,61,14AUG37:16:25:24,w,No,Yes,cheque,157.67787391,77
126,53369,f5mEsjQb,Creszenzia,62,05DEC71:16:25:24,w,No,Yes,credit card,450.95012281,43
127,37642,ocLvIKIN,Matthias,514,10SEP48:16:25:24,m,No,Yes,cash,260.93620217,66
128,29311,LOBjc0ue,Valentin,515,13DEC48:16:25:24,m,Yes,No,cash,640.60799037,66
129,18006,ukz24ozv,Manfred,516,09FEB90:16:25:24,m,No,No,credit card,568.12415916,24
130,33862,JlePCygI,Agnes,63,21AUG82:16:25:24,w,Yes,No,cash,454.399579,32
131,39283,hQateE26,Walburga,64,07FEB68:16:25:24,w,No,Yes,cheque,283.5687879,46
132,44552,FYBcEUd6,Alfred,517,22AUG45:16:25:24,m,No,No,credit card,656.6823254,69
133,86255,P4KEF7Wq,Friedrich,518,02OCT71:16:25:24,m,No,Yes,cash,763.48866796,43
134,61252,0Dm8Yibz,Franziska,65,29SEP58:16:25:24,w,No,No,credit card,491.57417548,56
135,60457,wCUZbsb9,Hildegard,66,07JAN60:16:25:24,w,No,Yes,cash,571.58352613,54
136,70446,zaus5phD,Thomas,519,21FEB33:16:25:24,m,No,Yes,credit card,160.20259142,81
137,60779,dKjQRsZi,Anton,520,02MAY67:16:25:24,m,No,No,credit card,507.76824175,47
138,62955,oHbgmBfM,Johanna,67,06NOV50:16:25:24,w,No,No,credit card,69.328965204,64
139,39804,HvSjreXj,Fridolin,521,14JUN40:16:25:24,m,No,Yes,credit card,240.59063539,74
140,47146,JveEHeyk,Karl,522,28OCT96:16:25:24,m,No,No,credit card,118.24044404,18
141,41954,9F9KFJ6H,Walburga,68,05DEC60:16:25:24,w,No,Yes,cash,195.95763207,54
142,28813,GVO5dbuC,Roswitha,69,19FEB97:16:25:24,w,No,No,credit card,359.32498891,17
143,51752,H8szJiQ8,Antonia,70,19JUN22:16:25:24,w,No,No,cheque,127.34535175,92
144,53383,pCUO5AGa,Adalbert,523,23JAN79:16:25:24,m,No,No,credit card,258.96727531,35
145,66588,vyLYrSRA,Dorothea,71,28JAN34:16:25:24,w,No,Yes,cash,306.30776665,80
146,35725,ZSopZwuk,Hannelore,72,15FEB79:16:25:24,w,Yes,No,credit card,2.5,35
147,81326,AIFX9peT,Josefa,73,24JUL11:16:25:24,w,No,No,credit card,259.449718,3
148,39700,SMstnaz9,Caroline,74,24SEP46:16:25:24,w,No,No,credit card,344.98426143,68
149,40160,30w6lE6G,Rupert,524,21JUN67:16:25:24,m,No,Yes,credit card,563.17217013,47
150,24288,X3YpANiF,Dorothea,75,04SEP63:16:25:24,w,No,Yes,credit card,344.66154196,51
151,30600,WN8bHBjG,Waltraud,76,24NOV63:16:25:24,w,No,Yes,cheque,303.31410227,51
152,53056,CG3hseQg,Agnes,77,29JUN41:16:25:24,w,No,No,credit card,241.0153401,73
153,62254,ehgSCbVE,Antonia,78,24OCT88:16:25:24,w,No,Yes,cash,310.68192564,26
154,16423,S3Pxb9ok,Anastasia,79,10NOV75:16:25:24,w,No,Yes,credit card,292.63314752,39
155,77126,9bU2w7pV,Laurentius,525,19SEP83:16:25:24,m,No,No,cash,328.95773533,31
156,51323,28Rviqp0,Alfred,526,22JUN86:16:25:24,m,No,No,credit card,123.75211797,28
157,37604,H6LxgqeP,Walburga,80,23FEB82:16:25:24,w,No,Yes,cash,454.77664596,32
158,56339,rkKD9dhZ,Rudolf,527,20JUL57:16:25:24,m,No,Yes,credit card,219.96662837,57
159,68932,83d7eRMo,Stephan,528,27FEB85:16:25:24,m,No,No,credit card,376.82259079,29
160,48144,v4z0FThC,Fridolin,529,12MAY55:16:25:24,m,No,No,credit card,625.37283591,59
161,58699,5iOBFRfJ,Josefa,81,29DEC76:16:25:24,w,No,Yes,credit card,413.23173812,38
162,32367,TnOXa1ht,Gottfried,530,18JAN65:16:25:24,m,No,No,cash,237.51372056,49
163,34322,v0poyp4v,Joseph,531,22APR94:16:25:24,m,No,No,credit card,274.64408165,20
164,48202,NFkiHjkD,Adolf,532,20OCT56:16:25:24,m,No,No,credit card,405.89609705,58
165,46755,GjU0ksAd,Katharina,82,05JUL86:16:25:24,w,No,Yes,credit card,115.6230985,28
166,57714,ghJnM1Rb,Sieglinde,83,13MAR36:16:25:24,w,No,Yes,cash,132.27392369,78
167,59997,O9rkKV6Z,Eustachius,533,15DEC84:16:25:24,m,No,Yes,credit card,390.21635921,30
168,66465,aUtRQSng,Konrad,534,23JAN55:16:25:24,m,No,Yes,cash,101.74592486,59
169,50069,km0CFEfa,Franz,535,02MAR52:16:25:24,m,No,No,credit card,239.33247927,62
170,99413,RQ0dUx34,Burgunde,84,06APR57:16:25:24,w,No,Yes,credit card,142.51948313,57
171,70286,bAKACf7o,Georgine,85,21MAY84:16:25:24,w,No,No,credit card,219.11151851,30
172,74035,x4pYHlgV,Maria,86,11FEB86:16:25:24,w,No,No,credit card,2.5,28
173,65113,0Go12lhb,Bernhard,536,23JUL62:16:25:24,m,No,No,credit card,57.204296548,52
174,43509,H1NrMhMz,Engelbert,537,30JAN69:16:25:24,m,No,Yes,credit card,72.584334528,45
175,51269,9uxwNsXr,Anastasia,87,29JUL28:16:25:24,w,No,Yes,cash,308.72471296,86
176,67034,7GDdhe6R,Margarete,88,31MAY62:16:25:24,w,No,Yes,cash,362.52400723,52
177,39032,VlJVFpat,Joseph,538,01NOV79:16:25:24,m,No,No,credit card,789.94949641,35
178,49943,w5XASsXb,Therese,89,10FEB48:16:25:24,w,No,Yes,cash,249.39879522,66
179,64591,TODZsH3h,Christoph,539,10FEB84:16:25:24,m,No,No,credit card,692.93015429,30
180,47739,OgOSZPKJ,Roswitha,90,02FEB25:16:25:24,w,No,Yes,cash,469.48276829,89
181,88698,biBvW212,Margaret,91,31JUL80:16:25:24,w,No,Yes,credit card,217.50262716,34
182,55349,jPuStBk5,Babette,92,26APR96:16:25:24,w,Yes,No,cash,2.5,18
183,41620,yyGY9EBR,Elisabeth,93,23SEP63:16:25:24,w,No,No,credit card,219.6252148,51
184,47286,xXBXsi8m,Karl,540,22APR71:16:25:24,m,No,Yes,cheque,54.245067056,43
185,29847,SuIBpfAT,Simon,541,25JAN80:16:25:24,m,No,No,credit card,250.91681798,34
186,64008,GHX5UrH3,Lieselotte,94,08JUN58:16:25:24,w,No,No,cash,102.26658724,56
187,35733,atMTm4DU,Roswitha,95,24JUN40:16:25:24,w,No,Yes,cash,312.81550308,74
188,42090,fAf0KV8h,Georg,542,13SEP54:16:25:24,m,No,Yes,credit card,591.22106784,60
189,48578,QZNLpGKp,Stephan,543,09MAR67:16:25:24,m,No,Yes,cash,404.96590118,47
190,47195,ZYTytgk4,Anna,96,06AUG35:16:25:24,w,No,Yes,cash,372.34477249,79
191,18888,zMyeY8je,Anna,97,09JUN44:16:25:24,w,No,Yes,credit card,191.47529572,70
192,25161,gFkFRdaI,Melchior,544,14MAY75:16:25:24,m,No,Yes,cash,193.16056693,39
193,46716,Nyqhazd7,Magdalena,98,12OCT96:16:25:24,w,No,Yes,credit card,67.315656021,18
194,47893,ELNgicTB,Melchior,545,19OCT91:16:25:24,m,No,No,credit card,429.12186977,23
195,56568,NON7zHOC,Cäcilie,99,11JUN61:16:25:24,w,No,No,cheque,293.33817097,53
196,43635,cUrR418k,Veronika,100,23JUL83:16:25:24,w,No,Yes,credit card,134.59680569,31
197,34633,ho5RCxxm,Mathias,546,29JUL77:16:25:24,m,No,No,cheque,554.76072404,37
198,40549,H0TFG5MM,Genoveva,101,07JAN54:16:25:24,w,Yes,No,cash,176.76594035,60
199,51040,sVoaunIJ,Gertrud,102,11OCT90:16:25:24,w,Yes,No,cash,281.9981284,24
200,58722,Swk4xNs0,Ludwig,547,20JUL73:16:25:24,m,No,Yes,credit card,136.36286206,41
201,80109,NsreMU8i,Cäcilie,103,31OCT86:16:25:24,w,No,No,credit card,296.56079509,28
202,52623,Cu7KhuFs,Josefa,104,30NOV61:16:25:24,w,Yes,No,credit card,376.00991476,53
203,42372,YrFsXGUa,Nepomuk,548,21DEC38:16:25:24,m,No,Yes,credit card,408.92536525,76
204,29863,blsGaVg3,Adolf,549,28MAR74:16:25:24,m,No,No,credit card,57.573963281,40
205,50049,GWPSIUW2,Martin,550,16NOV83:16:25:24,m,No,No,credit card,671.69628783,31
206,35479,2PmPZWDK,Nikolaus,551,30MAY71:16:25:24,m,No,Yes,cash,170.16321827,43
207,49469,sxnpIUU0,Birgit,105,28JUN70:16:25:24,w,No,No,cash,122.52650653,44
208,52664,RxjVpJBM,Edmund,552,17AUG52:16:25:24,m,No,Yes,cash,360.35302816,62
209,61718,xaOh8lV5,Valentin,553,20MAR58:16:25:24,m,No,No,credit card,95.532341028,56
210,40753,TgZBAArX,Marie,106,07FEB63:16:25:24,w,No,Yes,credit card,468.60973571,51
211,49994,gtWZWYUM,Sebastian,554,03JAN77:16:25:24,m,No,No,credit card,833.49684535,37
212,57478,9UaJdXWX,Friedrich,555,20SEP96:16:25:24,m,No,No,cheque,165.84252457,18
213,41474,6A75rQhE,Caroline,107,11NOV83:16:25:24,w,No,No,credit card,2.5686988644,31
214,10869,qyO20YBw,Brigitte,108,11JAN79:16:25:24,w,No,Yes,cash,252.98116606,35
215,57968,HHfSwcYU,Anton,556,05JAN89:16:25:24,m,Yes,No,cash,490.10554249,25
216,49215,m8xXvUDx,Kaspar,557,22DEC87:16:25:24,m,No,No,credit card,652.70950413,27
217,40973,DDEoEUqq,Scholastika,109,08MAR81:16:25:24,w,Yes,No,credit card,186.86917911,33
218,81900,IPlhr6cC,Waltraud,110,13JUN70:16:25:24,w,Yes,No,credit card,177.98615166,44
219,40990,a1MWIOfr,Dionysius,558,19MAR93:16:25:24,m,No,No,cash,515.39836454,21
220,49525,iJ5T9LF1,Korbinian,559,06JAN85:16:25:24,m,No,No,credit card,141.33087145,29
221,57903,0dFBEzCp,Rupert,560,19DEC79:16:25:24,m,No,No,cash,702.57151024,35
222,15002,3djn1SDK,Josefine,111,13DEC80:16:25:24,w,No,Yes,credit card,149.24889238,34
223,52112,f3iAYzTo,Anton,561,07OCT96:16:25:24,m,No,No,credit card,363.93915841,18
224,40426,Nh4XuVkA,Antonia,112,31MAY34:16:25:24,w,No,Yes,credit card,302.31903083,80
225,63905,8ifgixwW,Bartholomäus,562,14JAN35:16:25:24,m,No,No,credit card,610.08947149,79
226,49742,MLlwwJCK,Adalbert,563,05AUG61:16:25:24,m,No,No,credit card,159.13921146,53
227,17715,yBQox9zl,Sophia,113,29APR51:16:25:24,w,Yes,No,cheque,583.06297828,63
228,71368,S4tBcsld,Christina,114,06DEC83:16:25:24,w,No,No,credit card,302.70883685,31
229,53312,4RSQEopW,Waltraud,115,09AUG78:16:25:24,w,No,Yes,credit card,133.05822111,36
230,33874,MXqsktgh,Korbinian,564,02OCT82:16:25:24,m,No,No,credit card,768.48108431,32
231,13014,k7lMPtjG,Magdalena,116,19SEP66:16:25:24,w,No,Yes,cash,388.23668288,48
232,64735,6MFtHeI8,(Franz)Xaver,565,07OCT78:16:25:24,m,No,No,credit card,609.40421614,36
233,37718,zrcauQ9a,Mathias,566,02DEC52:16:25:24,m,No,No,credit card,759.35445888,62
234,44241,RleMzwZg,Balthasar,567,07DEC51:16:25:24,m,No,No,credit card,495.16598974,63
235,38356,UhuQAJZQ,Antonia,117,24JUN58:16:25:24,w,No,No,credit card,470.66177029,56
236,26601,vhtTUr66,Andreas,568,23MAR66:16:25:24,m,No,Yes,cheque,286.06795246,48
237,24478,5F6ZW8VT,Edmund,569,14FEB25:16:25:24,m,Yes,No,cash,606.03159091,89
238,51727,xiQrFrpV,Annemarie,118,20DEC80:16:25:24,w,No,Yes,credit card,267.85994962,34
239,68734,THcgfMaD,Annemarie,119,09JUL63:16:25:24,w,No,No,credit card,350.87141257,51
240,47146,W1gqSYVC,Ignaz,570,26MAR51:16:25:24,m,No,Yes,cheque,168.23684,63
241,59557,KgOaIIMC,Hannelore,120,21JAN50:16:25:24,w,No,Yes,credit card,140.16970521,64
242,65094,Dl2LRoQV,Fidelius,571,30NOV39:16:25:24,m,No,Yes,credit card,74.493213147,75
243,72481,3DohFRui,Silvester,572,03SEP80:16:25:24,m,No,Yes,credit card,351.03870706,34
244,48789,z3POfQ5L,Rudolf,573,16JAN59:16:25:24,m,No,Yes,cheque,400.8447322,55
245,50412,cujNb6GQ,Joseph,574,24SEP32:16:25:24,m,No,No,credit card,59.946052919,82
246,44960,wQDb9td0,Cäcilie,121,24AUG32:16:25:24,w,No,No,credit card,735.47270052,82
247,34377,kLjV6JOu,Georgine,122,24FEB64:16:25:24,w,Yes,No,cash,334.64852806,50
248,39759,gXJ7Pwee,Bernhard,575,30DEC60:16:25:24,m,No,No,cash,491.05800067,54
249,13223,rLSnVvQj,Remigius,576,25NOV57:16:25:24,m,No,No,cheque,503.28817268,57
250,63118,OHIF3ecs,Eva,123,07FEB64:16:25:24,w,No,Yes,credit card,278.53345726,50
251,57443,QCU4Fgm4,Walburga,124,06JUN75:16:25:24,w,No,Yes,credit card,443.94192568,39
252,62035,Skf9fEaF,Hannes,577,20APR42:16:25:24,m,No,No,credit card,669.12108371,72
253,51027,3bgeC6rr,Anna,125,15NOV95:16:25:24,w,No,No,credit card,103.35710706,19
254,48898,R9s3bCKc,Cäcilia,126,01JUL86:16:25:24,w,No,No,credit card,379.32893651,28
255,50563,fCOAG56c,Franziska,127,16JUN86:16:25:24,w,No,Yes,cheque,330.55965152,28
256,74769,o2pM2yEq,Cäcilia,128,07JAN28:16:25:24,w,No,Yes,credit card,429.50141446,86
257,77123,DlHE0KbG,Thomas,578,14SEP31:16:25:24,m,No,Yes,cash,81.277746965,83
258,73594,ccJwT4lI,Laurentius,579,11MAR90:16:25:24,m,No,No,cash,443.3235596,24
259,35889,NON7zHOC,Michael,580,02OCT84:16:25:24,m,No,No,credit card,427.78879679,30
260,42147,H8tTp8Ky,Dominik,581,01JUN68:16:25:24,m,No,No,credit card,656.6025897,46
261,82634,KcQK62N7,Franz,582,18FEB79:16:25:24,m,No,No,credit card,634.36105067,35
262,33265,m5RrACFZ,Brigitte,129,22SEP95:16:25:24,w,No,No,credit card,518.22776123,19
263,34948,vRKFjQdu,Reinhard,583,26JAN24:16:25:24,m,No,No,credit card,194.68405566,90
264,78508,JApslbuL,(Franz)Xaver,584,12JUN62:16:25:24,m,No,No,credit card,487.43259166,52
265,55995,Kpf2hrAR,Melchior,585,02MAY86:16:25:24,m,No,Yes,cash,44.73564756,28
266,59520,ASSm0Gw4,Sabine,130,07OCT89:16:25:24,w,No,No,credit card,238.34265358,25
267,80052,4sOGEqYt,Nikolaus,586,06JAN86:16:25:24,m,No,No,cash,296.11020416,28
268,45010,Qnrk4KMI,Rosina,131,22MAR71:16:25:24,w,Yes,No,cheque,316.56290852,43
